stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding
B_0900R3-IJURIDICAS2,Investigaciones Jurídicas 2,19.31723,-99.18069,0900R3-IJURIDICAS2,2
B_0900R3-IJURIDICAS,Investigaciones Jurídicas,19.31687,-99.18045,0900R3-IJURIDICAS,2
B_0900R3-FCPOLITICAS,Facultad de Ciencias Políticas,19.3178,-99.17641,0900R3-FCPOLITICAS,2
B_0900R3-TVUNAM,TV UNAM,19.3176,-99.17626,0900R3-TVUNAM,2
B_0900R3-CUEC,CUEC,19.3189,-99.17579,0900R3-CUEC,2
B_0900R3-DGSA,DGSA,19.3204,-99.17611,0900R3-DGSA,2
B_0900R3-TIENDAUNAM,Tienda UNAM,19.32129,-99.17625,0900R3-TIENDAUNAM,2
B_0900R3-TIENDAUNAM2,Tienda UNAM 2,19.32018,-99.17633,0900R3-TIENDAUNAM2,2
B_0900R2-DGTIC,DGTIC,19.3228,-99.18468,0900R2-DGTIC,2
B_0900R2-EDUCADISTANC,Educación a Distancia,19.32244,-99.18687,0900R2-EDUCADISTANC,2
B_0900R2-MBCU,Metrobús CU,19.32369,-99.18792,0900R2-MBCU,2
B_0900R2-BASEMBCU,Base Metrobús CU,19.32392,-99.18767,0900R2-BASEMBCU,2
B_0900R2-TRABAJOSOCI,Escuela de Trabajo Social,19.32323,-99.18664,0900R2-TRABAJOSOCI,2
B_0900R2-FCONTADMIN,Facultad de Contaduría y Administración,19.32359,-99.18478,0900R2-FCONTADMIN,2
B_0900R2-FCIENCIASPRO,Facultad de Ciencias Profesores,19.3249,-99.18174,0900R2-FCIENCIASPRO,2
B_0900R2-FCIENCIAS,Facultad de Ciencias ,19.32224,-99.1791,0900R2-FCIENCIAS,2
B_0900R2-FCIENCIASALU,Facultad de Ciencias Alumnos,19.32261,-99.1791,0900R2-FCIENCIASALU,2
B_0900R2-BASEMCU,Base Metro Universidad,19.32446,-99.17564,0900R2-BASEMCU,2
B_0900R1-QUIMICADE,Química Conjunto D y E,19.32283,-99.17745,0900R1-QUIMICADE,2
B_0900R1-IGEOFISICA,Instituto de Geofísica,19.32646,-99.17511,0900R1-IGEOFISICA,2
B_0900R1-FMVETERINARIA,Facultad M. Veterinaria,19.32915,-99.17563,0900R1-FMVETERINARIA,2
B_0900R1-FMEDICINA,Facultad de Medicina,19.33296,-99.17876,0900R1-FMEDICINA,2
B_0900R1-FODONTOLOG,Facultad de Odontología,19.3347,-99.18071,0900R1-FODONTOLOG,2
B_0900R1-FECONOMIA,Facultad de Economía,19.33522,-99.18294,0900R1-FECONOMIA,2
B_0900R1-FDERECHO,Facultad de Derecho,19.335,-99.18478,0900R1-FDERECHO,2
B_0900R1-FILOSOFIA,Facultad de Filosofía,19.33467,-99.18778,0900R1-FILOSOFIA,2
B_0900R1-PSICOLOGIA,Psicología,19.3345,-99.18919,0900R1-PSICOLOGIA,2
B_0900R1-RECTORIA,Rectoría,19.33268,-99.18937,0900R1-RECTORIA,2
B_0900R1-FARQUITECTU,Facultad de Arquitectura,19.33054,-99.1868,0900R1-FARQUITECTU,2
B_0900R1-FINGENIERIA,Facultad de Ingeniería,19.33075,-99.18453,0900R1-FINGENIERIA,2
B_0900R1-ENALLT,ENALLT (CELE),19.33075,-99.18353,0900R1-ENALLT,2
B_0900R1-FQUIMICA,Facultad de Química,19.33084,-99.18076,0900R1-FQUIMICA,2
B_0900R1-PSIQUIATRIASM,Psiquiatría y Salud Mental,19.33218,-99.17844,0900R1-PSIQUIATRIASM,2
B_0900R1-CENDI,CENDI,19.32773,-99.17477,0900R1-CENDI,2
B_0900R1-BASEMCU,Base Metro Universidad,19.32403,-99.17477,0900R1-BASEMCU,2
B_01023D00-TEXACALCOT,Texacalco - Tecamachalco,19.42611,-99.22902,01023D00-TEXACALCOT,2
B_01023D00-TEXACALCO,Texacalco ,19.4265,-99.2294,01023D00-TEXACALCO,2
B_01023D01-TEXATLATUL,Texacalco - Fuente de Templanza Atlatunco,19.42612,-99.22984,01023D01-TEXATLATUL,2
B_01023D01-ATLATULTLAX,Fuente de Templanza Atlatunco - Tlaxcatitlán,19.42573,-99.23036,01023D01-ATLATULTLAX,2
B_01023D01-ATLATULCHAY,Fuente de Templanza Atlatunco - Chayiyicame,19.42491,-99.23133,01023D01-ATLATULCHAY,2
B_01023D00-ATLATULCO,Fuente de Templanza Atlatunco - Acuezunco,19.42412,-99.23233,01023D00-ATLATULCO,2
B_01023D00-FTESTECAMA,Av. de las Fuentes - Tecamachalco,19.42225,-99.23331,01023D00-FTESTECAMA,2
B_01023D01-GTAVFUENTS,Glorieta Av. de las Fuentes,19.42458,-99.23441,01023D01-GTAVFUENTS,2
B_01023D00-TRITONJUANA,Fuente de Tritones - Juana de Arco,19.42483,-99.23462,01023D00-TRITONJUANA,2
B_01023D00-TRITONADAN,Fuente de Tritones - Fuente de Adán,19.42766,-99.23049,01023D00-TRITONADAN,2
B_01023C00-ESIA,ESIA,19.43034,-99.23236,01023C00-ESIA,2
B_01023C00-AGUAESIA,Agua Caliente - ESIA,19.42973,-99.23318,01023C00-AGUAESIA,2
B_01023C01-AGUAESIA,Agua Caliente - ESIA,19.42989,-99.23326,01023C01-AGUAESIA,2
B_01023C01-AGUALEONES,Agua Caliente - Fuente de los Leones,19.42913,-99.23335,01023C01-AGUALEONES,2
B_01023C01-NINOAGUILA,Fuente del Niño - Fuente de las Águilas,19.42854,-99.23195,01023C01-NINOAGUILA,2
B_01023C01-TRITONINO,Fuente de Tritones - Fuente del Niño,19.42868,-99.22982,01023C01-TRITONINO,2
B_01023B01-SRRSTAROSM,Sierra Santa Rosa - Muinura,19.43263,-99.21548,01023B01-SRRSTAROSM,2
B_01023B01-SANISIDRO,San Isidro,19.43091,-99.21608,01023B01-SANISIDRO,2
B_01023B01-SRRSTAROS4,Sierra Santa Rosa - Calle 4,19.43118,-99.21739,01023B01-SRRSTAROS4,2
B_01023B01-SRRSTAROS10,Sierra Santa Rosa - Calle 10,19.43027,-99.21989,01023B01-SRRSTAROS10,2
B_01023B01-SRRSTAROS13,Sierra Santa Rosa - Calle 13,19.42997,-99.22135,01023B01-SRRSTAROS13,2
B_01023B01-SRRSTAROSA,Sierra Santa Rosa - Calle 16,19.42981,-99.22318,01023B01-SRRSTAROSA,2
B_01023B00-ONTARIOATTE,Lago Ontario - Lago Atter,19.45522,-99.19404,01023B00-ONTARIOATTE,2
B_01023B00-ONTARIOLORE,Lago Ontario - San Lorenzo,19.45456,-99.19142,01023B00-ONTARIOLORE,2
B_01023B00-GOLFONTARI,Golfo del Eden - Lago Ontario,19.45417,-99.1897,01023B00-GOLFONTARI,2
B_01023B00-MNALGOLFOE,Av. Marina Nacional - Golfo del Eden,19.45681,-99.18905,01023B00-MNALGOLFOE,2
B_01023A00-CETRAMTAC2,CETRAM Tacuba 2,19.45858,-99.18951,01023A00-CETRAMTAC2,2
B_01023A00-PIPILANARCI,Blvd. Pipila - Narciso de Mendoza,19.43733,-99.22776,01023A00-PIPILANARCI,2
